n_clientes,aquecimento,replica,resposta,tempo_s
50000,1000,1,8.13267353699393,2.396488295999916
50000,1000,2,11.254300306682849,2.7769358899995495
50000,1000,3,8.669124590191915,3.0935831679998955
50000,1000,4,8.832596333081302,2.8270145050000792
50000,1000,5,8.610121709677669,2.4383298080001623
50000,1000,6,9.854236252583455,2.704075957999521
50000,1000,7,8.205727167751864,2.8454560039999706
50000,1000,8,8.014451730598322,2.5806765280003674
50000,1000,9,8.618857914445396,2.4391233449996435
50000,1000,10,8.00157101421271,3.7248735540006237
50000,1000,11,8.58528617502228,2.2375932590002776
50000,1000,12,9.676727291245028,2.105578587999844
50000,1000,13,7.258173712624097,2.010578477999843
50000,1000,14,9.512007919676988,2.058366778999698
50000,1000,15,9.495444508341667,1.90524493599969
50000,1000,16,8.594640788992434,2.2131767789996957
50000,1000,17,11.79875338040895,2.3569462240002395
50000,1000,18,12.590592692235981,3.7612695770003484
50000,1000,19,9.96080512615517,2.33576331400036
50000,1000,20,9.907364346076749,2.283786396999858
50000,1000,21,8.145561712644236,2.473649380000097
50000,1000,22,7.865542152744145,2.166525345000082
50000,1000,23,9.11419796194058,2.6237452289997236
50000,1000,24,8.110764745234583,2.2519923460004065
50000,1000,25,9.147454682426352,3.413476810999782
50000,1000,26,9.25316245859309,2.332124778000434
50000,1000,27,9.327160871552449,3.1649235699997007
50000,1000,28,8.841162400892665,3.0159974230000444
50000,1000,29,8.565692819001825,2.751957602999937
50000,1000,30,9.428300652610385,2.229004593999889
10000,1000,1,9.32650221365846,0.6746155190003265
10000,1000,2,10.457736152477064,0.5265453559995876
10000,1000,3,6.5572683819846596,0.5876477609999711
10000,1000,4,9.297328891663502,0.5915118400007486
10000,1000,5,7.118454521077045,0.4989596919995165
10000,1000,6,7.745400897782341,0.5204932959995858
10000,1000,7,12.360860788102112,0.4234596579999561
10000,1000,8,8.295848592304944,0.4607319139995525
10000,1000,9,7.62747287394735,0.562443164000797
10000,1000,10,6.97487299627297,0.46176691000073333
10000,1000,11,9.416620199885388,0.5305119229997217
10000,1000,12,11.370384987710109,0.5257690899998124
10000,1000,13,7.7772318271022005,0.5752061920002234
10000,1000,14,8.382293549816891,0.440304047000609
10000,1000,15,7.369021500968369,0.6126018990007651
10000,1000,16,6.870433303093767,0.547094646000005
10000,1000,17,10.237571606640458,0.5906534440000542
10000,1000,18,8.966486371209038,0.7146903930006374
10000,1000,19,10.888236231023047,0.49138939600015874
10000,1000,20,7.780663613223002,0.44248353199964185
10000,1000,21,7.625705243454491,0.5663363220000974
10000,1000,22,9.129300003693762,0.4813800310002989
10000,1000,23,9.648043679258638,0.42388676700011274
10000,1000,24,7.560454120645813,0.37606875100027537
10000,1000,25,8.807758813805968,0.39614978800000245
10000,1000,26,7.5145826080317555,0.3653109229999245
10000,1000,27,9.44192382756624,0.35418619600022794
10000,1000,28,11.586611248449126,0.33509888800017507
10000,1000,29,7.76385284552985,0.33520225699976436
10000,1000,30,8.619721504408343,0.34468380299949786
