ordem_execucao,run_id,celula,replica,A,B,C,servidores,lambda,servico,rho,spawn_key
1,24,3,4,-1,1,-1,1,0.9,exp,0.9,23
2,62,7,2,-1,1,1,1,0.9,const,0.9,61
3,56,6,6,1,-1,1,2,0.5,const,0.25,55
4,26,3,6,-1,1,-1,1,0.9,exp,0.9,25
5,73,8,3,1,1,1,2,0.9,const,0.45,72
6,55,6,5,1,-1,1,2,0.5,const,0.25,54
7,53,6,3,1,-1,1,2,0.5,const,0.25,52
8,15,2,5,1,-1,-1,2,0.5,exp,0.25,14
9,78,8,8,1,1,1,2,0.9,const,0.45,77
10,9,1,9,-1,-1,-1,1,0.5,exp,0.5,8
11,59,6,9,1,-1,1,2,0.5,const,0.25,58
12,71,8,1,1,1,1,2,0.9,const,0.45,70
13,52,6,2,1,-1,1,2,0.5,const,0.25,51
14,5,1,5,-1,-1,-1,1,0.5,exp,0.5,4
15,2,1,2,-1,-1,-1,1,0.5,exp,0.5,1
16,28,3,8,-1,1,-1,1,0.9,exp,0.9,27
17,17,2,7,1,-1,-1,2,0.5,exp,0.25,16
18,11,2,1,1,-1,-1,2,0.5,exp,0.25,10
19,43,5,3,-1,-1,1,1,0.5,const,0.5,42
20,12,2,2,1,-1,-1,2,0.5,exp,0.25,11
21,80,8,10,1,1,1,2,0.9,const,0.45,79
22,45,5,5,-1,-1,1,1,0.5,const,0.5,44
23,64,7,4,-1,1,1,1,0.9,const,0.9,63
24,58,6,8,1,-1,1,2,0.5,const,0.25,57
25,44,5,4,-1,-1,1,1,0.5,const,0.5,43
26,42,5,2,-1,-1,1,1,0.5,const,0.5,41
27,19,2,9,1,-1,-1,2,0.5,exp,0.25,18
28,22,3,2,-1,1,-1,1,0.9,exp,0.9,21
29,8,1,8,-1,-1,-1,1,0.5,exp,0.5,7
30,50,5,10,-1,-1,1,1,0.5,const,0.5,49
31,61,7,1,-1,1,1,1,0.9,const,0.9,60
32,40,4,10,1,1,-1,2,0.9,exp,0.45,39
33,23,3,3,-1,1,-1,1,0.9,exp,0.9,22
34,3,1,3,-1,-1,-1,1,0.5,exp,0.5,2
35,18,2,8,1,-1,-1,2,0.5,exp,0.25,17
36,7,1,7,-1,-1,-1,1,0.5,exp,0.5,6
37,1,1,1,-1,-1,-1,1,0.5,exp,0.5,0
38,20,2,10,1,-1,-1,2,0.5,exp,0.25,19
39,16,2,6,1,-1,-1,2,0.5,exp,0.25,15
40,79,8,9,1,1,1,2,0.9,const,0.45,78
41,74,8,4,1,1,1,2,0.9,const,0.45,73
42,6,1,6,-1,-1,-1,1,0.5,exp,0.5,5
43,13,2,3,1,-1,-1,2,0.5,exp,0.25,12
44,67,7,7,-1,1,1,1,0.9,const,0.9,66
45,25,3,5,-1,1,-1,1,0.9,exp,0.9,24
46,38,4,8,1,1,-1,2,0.9,exp,0.45,37
47,4,1,4,-1,-1,-1,1,0.5,exp,0.5,3
48,68,7,8,-1,1,1,1,0.9,const,0.9,67
49,65,7,5,-1,1,1,1,0.9,const,0.9,64
50,39,4,9,1,1,-1,2,0.9,exp,0.45,38
51,60,6,10,1,-1,1,2,0.5,const,0.25,59
52,31,4,1,1,1,-1,2,0.9,exp,0.45,30
53,72,8,2,1,1,1,2,0.9,const,0.45,71
54,41,5,1,-1,-1,1,1,0.5,const,0.5,40
55,35,4,5,1,1,-1,2,0.9,exp,0.45,34
56,37,4,7,1,1,-1,2,0.9,exp,0.45,36
57,47,5,7,-1,-1,1,1,0.5,const,0.5,46
58,14,2,4,1,-1,-1,2,0.5,exp,0.25,13
59,27,3,7,-1,1,-1,1,0.9,exp,0.9,26
60,21,3,1,-1,1,-1,1,0.9,exp,0.9,20
61,70,7,10,-1,1,1,1,0.9,const,0.9,69
62,69,7,9,-1,1,1,1,0.9,const,0.9,68
63,75,8,5,1,1,1,2,0.9,const,0.45,74
64,10,1,10,-1,-1,-1,1,0.5,exp,0.5,9
65,36,4,6,1,1,-1,2,0.9,exp,0.45,35
66,30,3,10,-1,1,-1,1,0.9,exp,0.9,29
67,33,4,3,1,1,-1,2,0.9,exp,0.45,32
68,63,7,3,-1,1,1,1,0.9,const,0.9,62
69,48,5,8,-1,-1,1,1,0.5,const,0.5,47
70,32,4,2,1,1,-1,2,0.9,exp,0.45,31
71,51,6,1,1,-1,1,2,0.5,const,0.25,50
72,46,5,6,-1,-1,1,1,0.5,const,0.5,45
73,76,8,6,1,1,1,2,0.9,const,0.45,75
74,77,8,7,1,1,1,2,0.9,const,0.45,76
75,29,3,9,-1,1,-1,1,0.9,exp,0.9,28
76,57,6,7,1,-1,1,2,0.5,const,0.25,56
77,54,6,4,1,-1,1,2,0.5,const,0.25,53
78,34,4,4,1,1,-1,2,0.9,exp,0.45,33
79,49,5,9,-1,-1,1,1,0.5,const,0.5,48
80,66,7,6,-1,1,1,1,0.9,const,0.9,65
