ordem_execucao,run_id,celula,replica,A,B,C,servidores,lambda,servico,rho,spawn_key,resposta,tempo_s
1,24,3,4,-1,1,-1,1,0.9,exp,0.9,23,7.960987279950107,4.443444773999545
2,62,7,2,-1,1,1,1,0.9,const,0.9,61,4.245951443636017,4.847082644000693
3,56,6,6,1,-1,1,2,0.5,const,0.25,55,0.0388286993623026,7.311665449999964
4,26,3,6,-1,1,-1,1,0.9,exp,0.9,25,7.6468576657746485,4.44533379800032
5,73,8,3,1,1,1,2,0.9,const,0.45,72,0.13423681510236143,4.5138177320004615
6,55,6,5,1,-1,1,2,0.5,const,0.25,54,0.03915437114155438,5.293448426000396
7,53,6,3,1,-1,1,2,0.5,const,0.25,52,0.03883008565825024,5.012942958999702
8,15,2,5,1,-1,-1,2,0.5,exp,0.25,14,0.06104809401697019,5.956396186000347
9,78,8,8,1,1,1,2,0.9,const,0.45,77,0.13456832617106546,5.499374576999799
10,9,1,9,-1,-1,-1,1,0.5,exp,0.5,8,1.0431749812029276,4.965409835000173
11,59,6,9,1,-1,1,2,0.5,const,0.25,58,0.03795651794798447,5.256726451000759
12,71,8,1,1,1,1,2,0.9,const,0.45,70,0.13967207399046672,4.995852338000077
13,52,6,2,1,-1,1,2,0.5,const,0.25,51,0.03661035161132576,5.415723920999881
14,5,1,5,-1,-1,-1,1,0.5,exp,0.5,4,1.0167356687195455,5.57712156999969
15,2,1,2,-1,-1,-1,1,0.5,exp,0.5,1,0.9489416903925934,4.986274543000036
16,28,3,8,-1,1,-1,1,0.9,exp,0.9,27,8.94199513474191,4.4629601260003255
17,17,2,7,1,-1,-1,2,0.5,exp,0.25,16,0.0648191727793419,5.929661286000737
18,11,2,1,1,-1,-1,2,0.5,exp,0.25,10,0.06610013154753444,5.556634788000338
19,43,5,3,-1,-1,1,1,0.5,const,0.5,42,0.496104751815884,4.1172220369999195
20,12,2,2,1,-1,-1,2,0.5,exp,0.25,11,0.0677711838893762,5.497270976000436
21,80,8,10,1,1,1,2,0.9,const,0.45,79,0.13812119386239494,5.903361659999973
22,45,5,5,-1,-1,1,1,0.5,const,0.5,44,0.4959414016915512,4.855913898999461
23,64,7,4,-1,1,1,1,0.9,const,0.9,63,4.32125724750061,5.40904614900046
24,58,6,8,1,-1,1,2,0.5,const,0.25,57,0.03701170418111055,5.781317413999204
25,44,5,4,-1,-1,1,1,0.5,const,0.5,43,0.4985576531493183,5.2929254669998045
26,42,5,2,-1,-1,1,1,0.5,const,0.5,41,0.49773335127490387,4.278326988000117
27,19,2,9,1,-1,-1,2,0.5,exp,0.25,18,0.06694095095927495,4.417774718000146
28,22,3,2,-1,1,-1,1,0.9,exp,0.9,21,9.240591521157256,4.559660851999979
29,8,1,8,-1,-1,-1,1,0.5,exp,0.5,7,1.0239098818049162,4.329847249000522
30,50,5,10,-1,-1,1,1,0.5,const,0.5,49,0.49282382843041117,3.904820562999703
31,61,7,1,-1,1,1,1,0.9,const,0.9,60,4.6381768914822805,4.6497351420002815
32,40,4,10,1,1,-1,2,0.9,exp,0.45,39,0.2518280149680969,3.998259183999835
33,23,3,3,-1,1,-1,1,0.9,exp,0.9,22,9.622703078956029,4.130159530999663
34,3,1,3,-1,-1,-1,1,0.5,exp,0.5,2,1.0122652237871765,4.447435498999766
35,18,2,8,1,-1,-1,2,0.5,exp,0.25,17,0.06592583506060519,3.864948069000093
36,7,1,7,-1,-1,-1,1,0.5,exp,0.5,6,0.9719518899920271,4.05447798700061
37,1,1,1,-1,-1,-1,1,0.5,exp,0.5,0,1.0100119929779314,4.499191828000221
38,20,2,10,1,-1,-1,2,0.5,exp,0.25,19,0.06904731778051568,4.613767247999931
39,16,2,6,1,-1,-1,2,0.5,exp,0.25,15,0.06934836965653811,4.7241610050004965
40,79,8,9,1,1,1,2,0.9,const,0.45,78,0.1406463603498558,4.54651403600019
41,74,8,4,1,1,1,2,0.9,const,0.45,73,0.1378466160321707,4.911312852999799
42,6,1,6,-1,-1,-1,1,0.5,exp,0.5,5,1.003883704367868,4.404184233000706
43,13,2,3,1,-1,-1,2,0.5,exp,0.25,12,0.0623163914541391,4.201941117999922
44,67,7,7,-1,1,1,1,0.9,const,0.9,66,4.186676618107997,4.536242679000679
45,25,3,5,-1,1,-1,1,0.9,exp,0.9,24,9.961033903601287,4.9375789300002
46,38,4,8,1,1,-1,2,0.9,exp,0.45,37,0.24993923200424378,4.269023336999453
47,4,1,4,-1,-1,-1,1,0.5,exp,0.5,3,0.9916753021963389,4.037310333000278
48,68,7,8,-1,1,1,1,0.9,const,0.9,67,4.034538624172922,4.286263668000174
49,65,7,5,-1,1,1,1,0.9,const,0.9,64,4.224589921540682,4.740909416999784
50,39,4,9,1,1,-1,2,0.9,exp,0.45,38,0.2575291307355109,4.312774452000667
51,60,6,10,1,-1,1,2,0.5,const,0.25,59,0.036892834437509514,3.8401674830001866
52,31,4,1,1,1,-1,2,0.9,exp,0.45,30,0.2578437337189744,4.438528032999784
53,72,8,2,1,1,1,2,0.9,const,0.45,71,0.13752491424140037,4.444075718999557
